Epoch:1
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Epoch:52
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1237,11,20,5085
Class 2,526,7,10,5810
Class 3,1134,4,20,5195
Class 4,92,0,3,6258
Class 5,135,1,2,6215
Class 6,93,0,3,6257
Class 7,860,15,28,5450
Class 8,113,5,6,6229
Class 9,455,4,12,5882
Class 10,701,10,19,5623

Epoch:53
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1217,21,40,5075
Class 2,519,8,17,5809
Class 3,1122,21,32,5178
Class 4,87,4,8,6254
Class 5,128,2,9,6214
Class 6,92,1,4,6256
Class 7,844,22,44,5443
Class 8,115,3,4,6231
Class 9,459,5,8,5881
Class 10,690,15,30,5618

Epoch:54
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1226,17,31,5079
Class 2,517,9,19,5808
Class 3,1125,12,29,5187
Class 4,90,4,5,6254
Class 5,134,1,3,6215
Class 6,91,2,5,6255
Class 7,858,13,30,5452
Class 8,110,4,9,6230
Class 9,455,7,12,5879
Class 10,694,14,26,5619

Epoch:55
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1235,16,22,5080
Class 2,522,8,14,5809
Class 3,1127,13,27,5186
Class 4,90,4,5,6254
Class 5,132,4,5,6212
Class 6,93,1,3,6256
Class 7,854,22,34,5443
Class 8,112,3,7,6231
Class 9,458,5,9,5881
Class 10,700,11,20,5622

Epoch:56
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1238,6,19,5090
Class 2,527,4,9,5813
Class 3,1138,11,16,5188
Class 4,90,3,5,6255
Class 5,132,0,5,6216
Class 6,95,0,1,6257
Class 7,861,14,27,5451
Class 8,108,5,11,6229
Class 9,457,5,10,5881
Class 10,706,5,14,5628

Epoch:57
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1228,17,29,5079
Class 2,524,7,12,5810
Class 3,1126,15,28,5184
Class 4,93,1,2,6257
Class 5,133,1,4,6215
Class 6,95,1,1,6256
Class 7,852,18,36,5447
Class 8,114,3,5,6231
Class 9,453,7,14,5879
Class 10,699,11,21,5622

Epoch:58
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1227,18,30,5078
Class 2,514,11,22,5806
Class 3,1129,13,25,5186
Class 4,86,5,9,6253
Class 5,129,2,8,6214
Class 6,91,3,5,6254
Class 7,850,14,38,5451
Class 8,111,5,8,6229
Class 9,454,4,13,5882
Class 10,691,13,29,5620

Epoch:59
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1235,18,22,5078
Class 2,527,2,9,5815
Class 3,1134,9,20,5190
Class 4,91,3,4,6255
Class 5,130,2,7,6214
Class 6,93,1,3,6256
Class 7,849,25,39,5440
Class 8,113,5,6,6229
Class 9,450,8,17,5878
Class 10,701,14,19,5619

Epoch:60
True/Predicted,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10
,TP,FP,FN,TN
Class 1,1224,17,33,5079
Class 2,518,7,18,5810
Class 3,1132,13,22,5186
Class 4,89,3,6,6255
Class 5,135,2,2,6214
Class 6,92,2,4,6255
Class 7,867,9,21,5456
Class 8,115,2,4,6232
Class 9,459,3,8,5883
Class 10,707,8,13,5625

